dialogue_id,speaker_role,s_self,s_opp,sat_opp_likert,pareto_self,pareto_opp,s_self_norm,s_opp_norm,sat_norm,penalty,integrative_potential,n_turns,Q_0.2,Q_0.5,Q_0.8,selected_0.2,selected_0.5,selected_0.8
0,mturk_agent_1,19,18,5,23,23,0.8260869565217391,0.782608695652174,1.0,0.0,low,11,0.9652173913043479,0.9130434782608696,0.8608695652173913,True,True,True
0,mturk_agent_2,18,19,4,23,23,0.782608695652174,0.8260869565217391,0.75,0.0,low,11,0.7565217391304349,0.7663043478260869,0.7760869565217392,False,False,False
2,mturk_agent_1,14,23,5,23,23,0.6086956521739131,1.0,1.0,0.0,low,10,0.9217391304347826,0.8043478260869565,0.6869565217391305,False,False,False
2,mturk_agent_2,23,14,4,23,23,1.0,0.6086956521739131,0.75,0.0,low,10,0.8,0.875,0.95,False,True,True
3,mturk_agent_1,23,19,5,27,27,0.8518518518518519,0.7037037037037037,1.0,0.0,high,10,0.9703703703703704,0.9259259259259259,0.8814814814814815,True,True,True
3,mturk_agent_2,19,23,5,27,27,0.7037037037037037,0.8518518518518519,1.0,0.0,high,10,0.9407407407407408,0.8518518518518519,0.762962962962963,False,False,False
6,mturk_agent_1,18,21,4,24,24,0.75,0.875,0.75,0.0,high,10,0.7500000000000001,0.75,0.75,False,False,False
6,mturk_agent_2,21,18,5,24,24,0.875,0.75,1.0,0.0,high,10,0.9750000000000001,0.9375,0.9,True,True,True
7,mturk_agent_1,18,22,4,27,24,0.6666666666666666,0.9166666666666666,0.75,0.0,high,10,0.7333333333333334,0.7083333333333333,0.6833333333333333,False,False,False
7,mturk_agent_2,22,18,5,24,27,0.9166666666666666,0.6666666666666666,1.0,0.0,high,10,0.9833333333333334,0.9583333333333333,0.9333333333333333,True,True,True
8,mturk_agent_1,22,19,5,27,24,0.8148148148148148,0.7916666666666666,1.0,0.0,high,11,0.962962962962963,0.9074074074074074,0.8518518518518519,True,True,True
8,mturk_agent_2,19,22,5,24,27,0.7916666666666666,0.8148148148148148,1.0,0.0,high,11,0.9583333333333334,0.8958333333333333,0.8333333333333333,True,True,False
9,mturk_agent_1,17,20,5,24,24,0.7083333333333334,0.8333333333333334,1.0,0.0,high,10,0.9416666666666668,0.8541666666666667,0.7666666666666667,False,False,False
9,mturk_agent_2,20,17,4,24,24,0.8333333333333334,0.7083333333333334,0.75,0.0,high,10,0.7666666666666668,0.7916666666666667,0.8166666666666667,False,False,False
10,mturk_agent_1,18,18,3,21,21,0.8571428571428571,0.8571428571428571,0.5,0.0,low,10,0.5714285714285714,0.6785714285714286,0.7857142857142857,False,False,False
10,mturk_agent_2,18,18,4,21,21,0.8571428571428571,0.8571428571428571,0.75,0.0,low,10,0.7714285714285716,0.8035714285714286,0.8357142857142856,False,False,False
11,mturk_agent_1,19,17,5,21,21,0.9047619047619048,0.8095238095238095,1.0,0.0,low,10,0.980952380952381,0.9523809523809523,0.9238095238095239,True,True,True
11,mturk_agent_2,17,19,5,21,21,0.8095238095238095,0.9047619047619048,1.0,0.0,low,10,0.9619047619047619,0.9047619047619048,0.8476190476190476,True,True,True
12,mturk_agent_1,19,17,5,21,21,0.9047619047619048,0.8095238095238095,1.0,0.0,low,11,0.980952380952381,0.9523809523809523,0.9238095238095239,True,True,True
12,mturk_agent_2,17,19,4,21,21,0.8095238095238095,0.9047619047619048,0.75,0.0,low,11,0.761904761904762,0.7797619047619048,0.7976190476190477,False,False,False
13,mturk_agent_1,17,23,4,27,24,0.6296296296296297,0.9583333333333334,0.75,0.0,high,15,0.7259259259259261,0.6898148148148149,0.6537037037037037,False,False,False
13,mturk_agent_2,23,17,4,24,27,0.9583333333333334,0.6296296296296297,0.75,0.0,high,15,0.7916666666666667,0.8541666666666667,0.9166666666666667,False,False,True
14,mturk_agent_1,17,23,5,27,24,0.6296296296296297,0.9583333333333334,1.0,0.0,high,10,0.925925925925926,0.8148148148148149,0.7037037037037037,False,False,False
14,mturk_agent_2,23,17,4,24,27,0.9583333333333334,0.6296296296296297,0.75,0.0,high,10,0.7916666666666667,0.8541666666666667,0.9166666666666667,False,False,True
15,mturk_agent_1,19,17,4,23,23,0.8260869565217391,0.7391304347826086,0.75,0.0,low,10,0.765217391304348,0.7880434782608696,0.8108695652173914,False,False,False
15,mturk_agent_2,17,19,4,23,23,0.7391304347826086,0.8260869565217391,0.75,0.0,low,10,0.7478260869565219,0.7445652173913043,0.741304347826087,False,False,False
17,mturk_agent_1,18,20,4,23,23,0.782608695652174,0.8695652173913043,0.75,0.0,low,10,0.7565217391304349,0.7663043478260869,0.7760869565217392,False,False,False
17,mturk_agent_2,20,18,4,23,23,0.8695652173913043,0.782608695652174,0.75,0.0,low,10,0.773913043478261,0.8097826086956521,0.8456521739130434,False,False,False
20,mturk_agent_1,23,17,2,24,27,0.9583333333333334,0.6296296296296297,0.25,0.0,high,13,0.3916666666666667,0.6041666666666667,0.8166666666666667,False,False,False
20,mturk_agent_2,17,23,5,27,24,0.6296296296296297,0.9583333333333334,1.0,0.0,high,13,0.925925925925926,0.8148148148148149,0.7037037037037037,False,False,False
