trait,trait_name,strategy,n,pearson_r,pearson_p,spearman_r,spearman_p
"('extraversion', 'small-talk')",extraversion,small-talk,1760,0.027273411417721244,0.25279635411927004,0.007982084305779149,0.7379007058502874
"('extraversion', 'self-need')",extraversion,self-need,1760,-0.011455955054650439,0.6310293104291977,-0.002773739018845704,0.9074287082599158
"('extraversion', 'other-need')",extraversion,other-need,1760,0.027653013544805996,0.24624977779689936,0.02594247711457576,0.27670203589414594
"('extraversion', 'no-need')",extraversion,no-need,1760,0.02422040852397387,0.3098531497782733,0.02136521468820017,0.3703668054059182
"('extraversion', 'elicit-pref')",extraversion,elicit-pref,1760,0.013567723461029926,0.5694784873164817,-0.005560027843840405,0.8156897041474338
"('extraversion', 'promote-coordination')",extraversion,promote-coordination,1760,0.004374495359486565,0.854491338140648,-0.002042635135753044,0.9317585145129119
"('extraversion', 'vouch-fair')",extraversion,vouch-fair,1760,-0.0022502425582464694,0.9248422359421924,0.0013158353114140848,0.956008451586032
"('extraversion', 'showing-empathy')",extraversion,showing-empathy,1760,-0.014050783280641176,0.5558118212171106,0.00035672047186630724,0.9880683749479569
"('extraversion', 'uv-part')",extraversion,uv-part,1760,0.0015613276828282075,0.9478118334851793,0.001924017681980564,0.9357125081899623
"('extraversion', 'non-strategic')",extraversion,non-strategic,1760,0.0067720818712766,0.7764822758739909,0.009563968007242315,0.688453194935269
"('agreeableness', 'small-talk')",agreeableness,small-talk,1760,0.026449784952753942,0.26741447574375665,0.01343297447153207,0.5733191758258197
"('agreeableness', 'self-need')",agreeableness,self-need,1760,0.013251338652418456,0.5785155950477715,0.011726730039171424,0.6229800039369646
"('agreeableness', 'other-need')",agreeableness,other-need,1760,0.03104975518597845,0.19291680252323493,0.030963152660123616,0.19416174730176247
"('agreeableness', 'no-need')",agreeableness,no-need,1760,0.003357339002066315,0.888068547030938,-0.007261472131544515,0.7608053192265998
"('agreeableness', 'elicit-pref')",agreeableness,elicit-pref,1760,-0.03922892183668729,0.09992658445709728,-0.047415064894742474,0.046714561610750785
"('agreeableness', 'promote-coordination')",agreeableness,promote-coordination,1760,0.024771481552413894,0.29897079633270013,0.04009097702882748,0.0926868184472954
"('agreeableness', 'vouch-fair')",agreeableness,vouch-fair,1760,0.04792583048896351,0.04439646894798082,0.04973166386251504,0.03696331900611578
"('agreeableness', 'showing-empathy')",agreeableness,showing-empathy,1760,0.010635287071283105,0.6556904697501121,0.01007907055961576,0.6726228423087947
"('agreeableness', 'uv-part')",agreeableness,uv-part,1760,0.031142171988907664,0.19159474962359752,0.03620543164661733,0.12893330871997027
"('agreeableness', 'non-strategic')",agreeableness,non-strategic,1760,-0.04582110506360609,0.05461242926575497,-0.0440880488763958,0.06443146349726085
"('conscientiousness', 'small-talk')",conscientiousness,small-talk,1760,-0.012356668714653083,0.6044283939744675,-0.027211895221377666,0.25386855933864694
"('conscientiousness', 'self-need')",conscientiousness,self-need,1760,0.01624975404603528,0.4956968152647269,0.009033294540398725,0.7049058597686483
"('conscientiousness', 'other-need')",conscientiousness,other-need,1760,0.018010076542569496,0.45019525499849844,0.0039547105421662496,0.8683204904141996
"('conscientiousness', 'no-need')",conscientiousness,no-need,1760,0.0013881209230958216,0.9535944227427325,0.005431288340558447,0.8198832602149636
"('conscientiousness', 'elicit-pref')",conscientiousness,elicit-pref,1760,-0.004614986524472193,0.8465885286726011,-0.011134450315624277,0.6406436897052957
"('conscientiousness', 'promote-coordination')",conscientiousness,promote-coordination,1760,0.03708863221871056,0.11985437905437671,0.024231546770437422,0.3096306403260603
"('conscientiousness', 'vouch-fair')",conscientiousness,vouch-fair,1760,0.03592228641464888,0.13195426358471518,0.03413423748503496,0.1523123607694968
"('conscientiousness', 'showing-empathy')",conscientiousness,showing-empathy,1760,-0.027874501849699515,0.24248532752262233,-0.02479081821423016,0.2985936304138639
"('conscientiousness', 'uv-part')",conscientiousness,uv-part,1760,-0.007838989372102773,0.7424312415144138,-0.018753787631220147,0.4317059762369722
"('conscientiousness', 'non-strategic')",conscientiousness,non-strategic,1760,-0.03755763008151775,0.11524092003024058,-0.03945028093941274,0.09802588755844516
"('emotional-stability', 'small-talk')",emotional-stability,small-talk,1760,-0.015533367418608153,0.5148930983012656,-0.031542787443095036,0.18594077035843165
"('emotional-stability', 'self-need')",emotional-stability,self-need,1760,-0.05261028349540132,0.02730807376874923,-0.04184181954562499,0.07927911333686052
"('emotional-stability', 'other-need')",emotional-stability,other-need,1760,0.0389545842422273,0.10232280013230505,0.033715015502385905,0.1574143785945395
"('emotional-stability', 'no-need')",emotional-stability,no-need,1760,0.009171353269906552,0.7006119063743058,0.0073448405443570655,0.7581442822284683
"('emotional-stability', 'elicit-pref')",emotional-stability,elicit-pref,1760,-0.0312728202764445,0.1897371609203425,-0.05182024702797389,0.029712838010531775
"('emotional-stability', 'promote-coordination')",emotional-stability,promote-coordination,1760,0.006643229586645236,0.7806253510905192,0.011350275751499666,0.6341828041586199
"('emotional-stability', 'vouch-fair')",emotional-stability,vouch-fair,1760,0.010831589289541404,0.6497560275036475,0.01269771804452931,0.5944890372290885
"('emotional-stability', 'showing-empathy')",emotional-stability,showing-empathy,1760,-0.04459989342479771,0.061390552444689925,-0.024629928218711634,0.3017414985279948
"('emotional-stability', 'uv-part')",emotional-stability,uv-part,1760,-0.003021995502825601,0.8991857274718633,-0.009314165690821455,0.6961801390823955
"('emotional-stability', 'non-strategic')",emotional-stability,non-strategic,1760,-0.030786019886871928,0.1967264290201665,-0.044046047106861275,0.06468642041605598
"('openness-to-experiences', 'small-talk')",openness-to-experiences,small-talk,1760,0.0069210763005404415,0.7716994725391844,-0.013846808795541446,0.5615630985949289
"('openness-to-experiences', 'self-need')",openness-to-experiences,self-need,1760,0.021280459252192917,0.37226853114648045,0.02652298186085737,0.26609230843269555
"('openness-to-experiences', 'other-need')",openness-to-experiences,other-need,1760,0.0014567530494153766,0.951302797880125,0.01491150970517869,0.5318639228212199
"('openness-to-experiences', 'no-need')",openness-to-experiences,no-need,1760,0.040327393851042614,0.09077663209469054,0.039119543345886,0.1008765412455145
"('openness-to-experiences', 'elicit-pref')",openness-to-experiences,elicit-pref,1760,0.00901362680387726,0.7055183419449165,-0.0037765814079562293,0.8742011178083549
"('openness-to-experiences', 'promote-coordination')",openness-to-experiences,promote-coordination,1760,0.0694339623304637,0.003564113639448239,0.050322377116009766,0.03477405016201941
"('openness-to-experiences', 'vouch-fair')",openness-to-experiences,vouch-fair,1760,0.024549839346151407,0.303316663499057,0.03175757155438846,0.1829606907774692
"('openness-to-experiences', 'showing-empathy')",openness-to-experiences,showing-empathy,1760,-0.047076013193620835,0.04830887654347016,-0.03014218660802208,0.206257143586866
"('openness-to-experiences', 'uv-part')",openness-to-experiences,uv-part,1760,-0.016952445567155437,0.47724487665655707,-0.010581571717068722,0.6573181589062624
"('openness-to-experiences', 'non-strategic')",openness-to-experiences,non-strategic,1760,-0.026049134756910702,0.2747313840936132,-0.023214772839360045,0.33037758751411384
