dialogue_id,role,utterance_count,extraversion,agreeableness,conscientiousness,emotional-stability,openness-to-experiences,freq_small-talk,count_small-talk,freq_self-need,count_self-need,freq_other-need,count_other-need,freq_no-need,count_no-need,freq_elicit-pref,count_elicit-pref,freq_promote-coordination,count_promote-coordination,freq_vouch-fair,count_vouch-fair,freq_showing-empathy,count_showing-empathy,freq_uv-part,count_uv-part,freq_non-strategic,count_non-strategic
0,mturk_agent_1,6,5.0,6.0,6.0,5.0,5.5,0.16666666666666666,1,0.0,0,0.16666666666666666,1,0.0,0,0.16666666666666666,1,0.3333333333333333,2,0.0,0,0.0,0,0.0,0,0.3333333333333333,2
0,mturk_agent_2,5,4.0,6.0,5.5,3.0,7.0,0.0,0,0.0,0,0.2,1,0.0,0,0.4,2,0.4,2,0.0,0,0.0,0,0.0,0,0.2,1
2,mturk_agent_2,5,1.0,1.5,5.0,4.5,6.5,0.2,1,0.4,2,0.0,0,0.0,0,0.2,1,0.4,2,0.0,0,0.2,1,0.2,1,0.2,1
2,mturk_agent_1,5,5.0,7.0,7.0,5.0,7.0,0.4,2,0.4,2,0.0,0,0.0,0,0.2,1,0.2,1,0.0,0,0.0,0,0.2,1,0.2,1
3,mturk_agent_2,5,2.0,5.0,6.5,5.5,2.5,0.2,1,0.2,1,0.0,0,0.0,0,0.0,0,0.2,1,0.0,0,0.0,0,0.0,0,0.4,2
3,mturk_agent_1,5,2.5,3.5,6.0,4.5,5.0,0.4,2,0.4,2,0.0,0,0.0,0,0.0,0,0.4,2,0.0,0,0.2,1,0.0,0,0.0,0
6,mturk_agent_2,5,2.0,6.0,5.5,5.5,5.0,0.2,1,0.0,0,0.2,1,0.0,0,0.2,1,0.2,1,0.2,1,0.2,1,0.0,0,0.2,1
6,mturk_agent_1,5,1.0,7.0,5.0,7.0,6.0,0.2,1,0.2,1,0.0,0,0.0,0,0.2,1,0.0,0,0.0,0,0.0,0,0.0,0,0.4,2
7,mturk_agent_2,5,5.0,5.5,6.0,5.5,5.5,0.4,2,0.4,2,0.4,2,0.2,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,1
7,mturk_agent_1,5,2.0,7.0,6.5,5.0,4.0,0.4,2,0.4,2,0.0,0,0.0,0,0.0,0,0.2,1,0.2,1,0.4,2,0.0,0,0.0,0
